GPU_ID,CUDA_Cores,Base_Clock_MHz,Boost_Clock_MHz,Memory_Type,Memory_Bandwidth_GBps,RT_Cores,Tensor_Cores
7524,1408,1238,1554,HBM2,336.5,82,328
7525,4608,2002,2407,GDDR6,604.9,48,192
7526,8704,1440,1899,GDDR5,739.5,126,504
7527,2048,1663,2127,HBM2,596.8,42,168
7528,10752,1917,2110,GDDR6,988.3,76,304
7529,8704,1982,2299,GDDR5,503.8,36,144
7530,4608,2094,2453,GDDR6,319.7,47,188
7531,16384,1654,1945,GDDR5,663.8,94,376
7532,7680,2185,2499,GDDR5,676.7,0,0
7533,3584,2309,2580,GDDR6,292.1,29,116
7534,384,1350,1452,GDDR5,297.9,0,0
7535,7680,2214,2636,GDDR5X,768.7,0,0
7536,10752,2019,2430,GDDR5,584.9,30,120
7537,10752,2310,2755,HBM2,778.4,0,0
7538,8704,2019,2429,GDDR6,900.2,0,0
7539,1024,1241,1667,HBM2,732.2,0,0
7540,4608,2189,2298,HBM2,858.6,99,396
7541,16384,1093,1453,GDDR6X,512.0,0,0
7542,1408,1378,1860,GDDR6,357.3,0,0
7543,4608,1596,1915,GDDR5,914.5,80,320
7544,10752,2248,2460,GDDR5,937.1,0,0
7545,1408,1728,2135,GDDR6X,732.1,0,0
7546,4608,1494,1772,GDDR6X,204.6,84,336
7547,7680,1413,1880,GDDR5X,275.7,55,220
7548,4608,1896,2318,HBM2,542.2,0,0
7549,10752,1767,2243,GDDR5X,352.6,0,0
7550,7680,2359,2592,GDDR5,467.0,65,260
7551,1408,1554,1787,GDDR6,373.9,25,100
7552,1408,1791,2253,GDDR5,405.5,112,448
7553,16384,1296,1553,GDDR5X,455.8,58,232
7554,1408,1575,1897,GDDR5,606.5,88,352
7555,4608,1606,1853,HBM2,539.3,37,148
7556,384,1018,1374,GDDR6,640.4,96,384
7557,7680,1521,1976,GDDR5,265.9,0,0
7558,10752,1603,1950,HBM2,586.3,0,0
7559,16384,1513,1846,GDDR5X,221.7,97,388
7560,1024,1469,1961,HBM2,593.2,0,0
7561,2048,1438,1771,GDDR5,323.2,0,0
7562,2048,1296,1749,GDDR5X,610.9,0,0
7563,1024,1158,1352,GDDR6X,868.2,0,0
7564,1408,2271,2593,GDDR6X,973.7,44,176
7565,7680,2426,2548,GDDR5X,777.1,22,88
7566,16384,2309,2705,HBM2,204.3,64,256
7567,16384,2424,2753,HBM2,929.7,103,412
7568,16384,1375,1560,GDDR6X,603.6,0,0
7569,7680,1420,1673,GDDR6X,608.1,30,120
7570,1024,1852,2128,HBM2,336.1,0,0
7571,8704,1451,1874,GDDR6,266.5,0,0
7572,8704,2064,2470,GDDR6X,561.8,0,0
7573,384,1965,2152,GDDR5X,455.0,83,332
7574,8704,2224,2564,GDDR5,444.8,0,0
7575,384,1257,1445,GDDR6X,818.8,110,440
7576,8704,1860,2153,GDDR6,671.3,127,508
7577,16384,1117,1389,GDDR6X,645.5,0,0
7578,1024,1953,2266,GDDR6,992.3,39,156
7579,4608,1777,1931,HBM2,281.0,80,320
7580,16384,1747,1984,HBM2,281.7,0,0
7581,1408,1046,1529,GDDR5X,473.9,0,0
7582,10752,1480,1826,GDDR5,312.8,0,0
7583,7680,1823,2039,HBM2,636.3,0,0
7584,16384,2360,2488,GDDR6X,946.1,77,308
7585,2048,1049,1419,GDDR6X,296.1,0,0
7586,1024,1995,2428,GDDR6X,818.8,0,0
7587,2048,2467,2664,HBM2,260.8,0,0
7588,10752,1716,1930,GDDR5X,974.8,54,216
7589,16384,1785,1993,GDDR5,219.6,0,0
7590,16384,1269,1553,GDDR5X,559.7,110,440
7591,384,1953,2304,GDDR6,309.6,0,0
7592,16384,1125,1300,GDDR5,823.3,54,216
7593,16384,2032,2525,HBM2,979.1,0,0
7594,7680,1165,1273,GDDR5X,817.4,0,0
7595,2048,1276,1599,HBM2,903.8,80,320
7596,16384,2355,2666,GDDR5X,495.0,0,0
7597,1024,1278,1630,GDDR5,616.2,0,0
7598,1024,1087,1249,GDDR5X,738.2,69,276
7599,2048,2422,2550,GDDR6X,796.5,0,0
7600,10752,1410,1666,GDDR6X,315.2,76,304
7601,1408,1595,1793,GDDR5X,992.4,0,0
7602,1408,1362,1601,GDDR6,700.0,0,0
7603,16384,1358,1713,GDDR6,443.2,106,424
7604,7680,2348,2764,HBM2,456.6,0,0
7605,8704,2170,2380,HBM2,471.1,0,0
7606,7680,1571,2016,GDDR5,355.5,0,0
7607,384,2428,2779,GDDR6X,860.9,105,420
7608,16384,1502,1613,GDDR5X,633.0,91,364
7609,16384,1105,1221,GDDR6X,986.7,0,0
7610,8704,1948,2386,GDDR6X,333.9,90,360
7611,10752,1563,1914,GDDR6X,241.1,39,156
7612,8704,1830,2322,GDDR5X,756.8,0,0
7613,1024,2056,2378,GDDR5X,335.2,110,440
7614,384,1762,1951,GDDR5X,371.7,56,224
7615,384,2136,2278,GDDR6X,423.3,41,164
7616,2048,2328,2512,GDDR6X,913.6,77,308
7617,4608,2192,2299,GDDR5X,882.4,59,236
7618,384,1215,1451,GDDR6X,646.3,88,352
7619,16384,1074,1556,GDDR6,837.3,0,0
7620,7680,2353,2641,GDDR6X,372.2,0,0
7621,4608,2258,2611,GDDR5,834.8,91,364
7622,384,1674,1836,GDDR6X,426.7,71,284
7623,2048,1928,2376,GDDR5X,805.0,105,420
7624,16384,1590,2077,GDDR5,345.6,56,224
7625,8704,2035,2238,GDDR6,561.8,0,0
7626,4608,1957,2179,HBM2,400.0,0,0
7627,3584,1088,1268,GDDR6,720.4,107,428
7628,16384,1510,2006,GDDR5,439.2,0,0
7629,7680,2477,2871,GDDR6,696.6,0,0
7630,16384,1691,2011,GDDR5,676.9,69,276
7631,8704,2394,2824,GDDR6,909.7,0,0
7632,4608,1095,1375,GDDR5X,844.2,43,172
7633,1408,1649,1986,GDDR6X,398.6,61,244
7634,7680,1555,1863,GDDR5,669.5,26,104
7635,1024,2408,2896,GDDR6X,418.7,104,416
7636,4608,1031,1446,GDDR5,339.6,0,0
7637,1408,1977,2146,HBM2,579.1,52,208
7638,10752,2432,2790,GDDR6,731.3,25,100
7639,2048,2305,2722,GDDR5,647.7,112,448
7640,4608,1710,2188,HBM2,660.8,0,0
7641,10752,1219,1392,GDDR6X,369.5,100,400
7642,8704,1316,1639,GDDR6X,586.0,0,0
7643,16384,1716,2052,GDDR5X,553.0,77,308
7644,1024,1571,1988,GDDR6,245.2,49,196
7645,1024,1950,2441,GDDR6X,271.3,39,156
7646,1024,1318,1765,GDDR5,302.7,83,332
7647,4608,1475,1787,GDDR5,453.3,0,0
7648,7680,1804,2048,GDDR6,479.4,27,108
7649,3584,2113,2385,HBM2,915.9,0,0
7650,8704,1027,1168,GDDR5X,610.2,95,380
7651,10752,1500,1636,GDDR5,924.2,35,140
7652,8704,2355,2839,HBM2,575.4,44,176
7653,1408,1882,2138,GDDR5,988.1,0,0
7654,2048,1340,1685,GDDR6X,784.2,74,296
7655,8704,1935,2253,GDDR5X,364.1,0,0
7656,8704,1841,2217,HBM2,534.5,114,456
7657,4608,1449,1831,GDDR6,930.0,0,0
7658,7680,1842,2111,GDDR5,237.5,0,0
7659,8704,2037,2436,HBM2,686.7,0,0
7660,2048,2465,2958,GDDR6X,469.7,54,216
7661,3584,2388,2598,GDDR5X,516.8,0,0
7662,1408,1797,2136,GDDR5,662.0,0,0
7663,10752,1500,1926,HBM2,707.6,108,432
7664,384,2232,2572,GDDR5X,455.4,0,0
7665,10752,2471,2581,GDDR6X,418.3,0,0
7666,1024,1208,1326,GDDR5X,675.5,122,488
7667,1408,2469,2731,HBM2,509.4,24,96
7668,7680,2301,2503,GDDR6,451.3,0,0
7669,384,1549,1650,GDDR5,952.7,0,0
7670,1408,1122,1356,HBM2,611.1,0,0
7671,2048,1164,1317,GDDR6,335.4,111,444
7672,1024,1278,1576,GDDR6,685.1,0,0
7673,1024,2417,2569,GDDR6,802.1,119,476
7674,8704,1730,2200,HBM2,719.1,0,0
7675,1408,2490,2751,HBM2,268.3,0,0
7676,7680,1913,2216,GDDR5,759.3,93,372
7677,4608,1908,2380,GDDR6X,558.2,119,476
7678,8704,1942,2244,GDDR5X,269.2,79,316
7679,3584,1962,2335,GDDR5X,213.1,55,220
7680,4608,1216,1451,HBM2,349.2,0,0
7681,1408,1995,2234,GDDR6,386.4,101,404
7682,1408,1234,1434,GDDR6,808.1,48,192
7683,4608,2195,2382,GDDR6,206.6,98,392
7684,8704,2440,2649,HBM2,324.3,0,0
7685,7680,1384,1729,GDDR5,861.9,0,0
7686,1024,2155,2514,GDDR5,470.2,66,264
7687,4608,1705,2147,GDDR6X,266.4,39,156
7688,7680,1919,2374,GDDR5,267.1,0,0
7689,8704,1787,1972,GDDR6X,248.7,0,0
7690,8704,1791,2246,GDDR5X,729.7,116,464
7691,3584,2350,2679,GDDR6X,229.3,0,0
7692,7680,1061,1175,HBM2,478.0,80,320
7693,2048,2421,2714,GDDR5X,208.9,121,484
7694,10752,1126,1350,GDDR6X,805.7,108,432
7695,2048,1158,1332,GDDR5X,918.5,38,152
7696,1024,2454,2703,HBM2,437.7,25,100
7697,7680,1039,1297,GDDR6,753.0,114,456
7698,16384,1615,1810,GDDR6X,435.6,118,472
7699,3584,2178,2371,GDDR5,709.6,69,276
7700,8704,1734,1956,GDDR6,570.6,0,0
7701,3584,1929,2249,GDDR5X,931.8,63,252
7702,7680,1249,1587,GDDR6X,593.2,56,224
7703,7680,2371,2832,HBM2,824.6,0,0
7704,10752,1550,1996,GDDR6,824.1,74,296
7705,4608,1573,1879,GDDR5,796.1,0,0
7706,8704,1553,1931,GDDR5X,913.8,104,416
7707,4608,1567,1849,GDDR6X,382.3,116,464
7708,1024,1879,2143,GDDR5X,337.9,0,0
7709,2048,2495,2948,GDDR6,905.6,54,216
7710,1024,2440,2667,GDDR6X,913.9,70,280
7711,4608,1360,1488,GDDR5X,830.0,0,0
7712,10752,1902,2195,GDDR6X,774.8,0,0
7713,3584,2039,2202,GDDR5,205.9,122,488
7714,1024,2197,2393,GDDR6X,896.4,0,0
7715,1024,1138,1418,GDDR6,290.7,0,0
7716,1024,2093,2355,GDDR5,384.9,0,0
7717,1408,2258,2489,GDDR6,293.0,0,0
7718,4608,1064,1521,GDDR5,296.9,101,404
7719,384,1421,1697,HBM2,817.6,0,0
7720,384,1070,1513,GDDR6,769.2,0,0
7721,7680,1495,1981,GDDR6,776.8,0,0
7722,10752,1924,2062,GDDR6X,780.8,0,0
7723,1408,1034,1238,GDDR6,606.4,0,0
7724,4608,1459,1648,GDDR5X,258.2,0,0
7725,3584,1305,1646,GDDR5X,692.7,67,268
7726,8704,1564,1769,GDDR6,721.7,47,188
7727,2048,1641,2109,GDDR6X,991.0,0,0
7728,384,1470,1606,GDDR5,829.4,66,264
7729,10752,1164,1336,GDDR5,304.8,0,0
7730,8704,1941,2196,HBM2,476.5,0,0
7731,4608,2199,2638,GDDR5,615.6,74,296
7732,2048,1113,1252,GDDR5,908.9,0,0
7733,7680,1012,1168,HBM2,288.9,121,484
7734,4608,2185,2609,GDDR5X,617.7,0,0
7735,2048,1768,2028,GDDR6,497.5,49,196
7736,10752,2235,2342,HBM2,462.2,0,0
7737,1024,1609,1791,HBM2,246.8,26,104
7738,16384,1327,1664,GDDR5,592.3,44,176
7739,3584,2327,2444,GDDR5X,290.0,118,472
7740,16384,1374,1866,GDDR6,749.9,33,132
7741,1408,1807,2237,GDDR6,272.1,66,264
7742,16384,2219,2698,GDDR6,398.8,0,0
7743,4608,1856,2144,GDDR5X,440.1,94,376
7744,10752,2009,2424,HBM2,298.7,0,0
7745,1408,1224,1441,GDDR5X,264.5,77,308
7746,3584,2034,2521,GDDR5,732.4,86,344
7747,16384,1422,1835,GDDR6X,914.6,99,396
7748,1408,1869,2355,GDDR6,670.5,45,180
7749,16384,1766,2160,GDDR5,471.8,100,400
7750,2048,1783,2068,GDDR5X,508.5,63,252
7751,2048,1153,1444,GDDR5,870.3,114,456
7752,8704,1086,1543,HBM2,557.4,0,0
7753,7680,1410,1761,GDDR6,727.5,24,96
7754,1024,1785,1967,HBM2,855.9,0,0
7755,16384,1083,1493,GDDR5X,610.2,0,0
7756,384,2279,2751,GDDR5,579.9,0,0
7757,1408,1350,1797,GDDR6,808.8,0,0
7758,4608,1949,2069,HBM2,810.1,0,0
7759,7680,2120,2252,GDDR5,713.1,0,0
7760,1024,1634,2060,GDDR5X,483.9,83,332
7761,384,1019,1421,GDDR6,873.3,101,404
7762,16384,1866,1993,HBM2,491.7,122,488
7763,2048,2422,2631,HBM2,993.0,36,144
7764,1024,1285,1532,GDDR5X,896.6,0,0
7765,8704,1527,1876,HBM2,702.6,70,280
7766,8704,1291,1585,GDDR5,319.0,127,508
7767,1024,1825,2128,GDDR6X,566.6,0,0
7768,16384,1178,1445,GDDR5,586.9,0,0
7769,3584,1295,1538,GDDR5,739.2,0,0
7770,384,2146,2503,GDDR5X,427.6,42,168
7771,2048,2274,2749,GDDR5X,638.9,91,364
7772,8704,1769,1924,HBM2,366.4,0,0
7773,384,1957,2329,GDDR5X,302.6,0,0
7774,3584,1275,1419,GDDR6,495.4,109,436
7775,2048,1081,1455,GDDR5X,824.9,22,88
7776,384,2062,2246,GDDR5,597.4,65,260
7777,4608,1835,2268,GDDR6,453.1,71,284
7778,2048,2313,2456,GDDR5,724.2,0,0
7779,2048,2045,2543,HBM2,814.1,123,492
7780,2048,1312,1659,GDDR6X,994.6,95,380
7781,3584,1668,2107,GDDR6,770.7,24,96
7782,8704,1062,1348,GDDR5X,913.0,111,444
7783,16384,2250,2534,HBM2,351.2,85,340
7784,7680,1024,1363,HBM2,372.4,0,0
7785,16384,2158,2464,GDDR6,828.5,122,488
7786,7680,1531,1711,GDDR5X,246.4,0,0
7787,16384,1556,1893,GDDR5,211.4,0,0
7788,16384,1501,1809,HBM2,454.6,108,432
7789,1408,1147,1274,GDDR5X,414.0,21,84
7790,10752,1409,1754,GDDR5X,701.7,0,0
7791,2048,1016,1237,GDDR5,275.3,25,100
7792,4608,1618,1959,HBM2,962.9,84,336
7793,10752,1463,1853,GDDR6,348.8,32,128
7794,7680,1598,1784,GDDR5,383.8,0,0
7795,16384,1819,2023,HBM2,664.8,0,0
7796,10752,1510,1658,GDDR5X,414.4,0,0
7797,10752,2285,2641,HBM2,872.2,0,0
7798,384,1173,1568,HBM2,262.9,51,204
7799,7680,2239,2366,GDDR6X,569.5,73,292
7800,1024,2450,2702,HBM2,391.8,0,0
7801,4608,2328,2654,GDDR6X,551.9,40,160
7802,1408,1675,1814,GDDR5,828.0,0,0
7803,10752,1927,2036,GDDR6X,998.6,0,0
7804,384,1386,1777,GDDR6X,811.0,97,388
7805,384,1612,2028,GDDR5,214.1,0,0
7806,1024,2449,2771,GDDR5,952.1,21,84
7807,7680,1508,1956,HBM2,787.8,77,308
7808,7680,1497,1824,GDDR6,540.2,109,436
7809,10752,2128,2520,GDDR6X,414.7,0,0
7810,384,2336,2747,GDDR5X,890.3,100,400
7811,8704,2320,2565,HBM2,563.4,0,0
7812,4608,1617,2059,GDDR5X,845.8,0,0
7813,10752,1416,1530,GDDR6,368.0,43,172
7814,2048,1458,1558,GDDR6X,236.2,0,0
7815,10752,1075,1328,GDDR6,677.3,0,0
7816,10752,1342,1819,GDDR5,425.2,57,228
7817,4608,1245,1594,HBM2,355.3,120,480
7818,10752,1242,1602,GDDR6X,907.2,0,0
7819,16384,1327,1815,GDDR5X,212.8,0,0
7820,8704,2033,2529,HBM2,480.2,0,0
7821,7680,1531,1969,GDDR5,688.0,0,0
7822,1408,2419,2688,GDDR6,743.4,90,360
7823,10752,1530,1849,GDDR5,607.0,0,0
7824,4608,2234,2693,HBM2,922.1,113,452
7825,2048,1862,2257,GDDR6,265.7,0,0
7826,8704,1368,1818,GDDR5X,334.0,0,0
7827,2048,1315,1457,GDDR5X,690.1,0,0
7828,4608,2365,2634,GDDR6X,706.5,0,0
7829,7680,1509,1984,GDDR6,920.6,0,0
7830,7680,2394,2601,GDDR5X,761.7,35,140
7831,3584,1644,1885,HBM2,842.6,0,0
7832,16384,1414,1758,GDDR5,471.9,116,464
7833,8704,1428,1534,GDDR6,285.1,0,0
7834,1024,1536,1818,GDDR6X,213.3,0,0
7835,4608,1297,1398,GDDR5X,792.8,42,168
7836,2048,1148,1471,HBM2,974.8,0,0
7837,1024,1283,1610,GDDR5X,959.7,0,0
7838,384,2357,2752,GDDR6,818.6,0,0
7839,10752,1676,2102,GDDR6X,820.9,68,272
7840,1024,1699,2137,GDDR6X,691.3,0,0
7841,8704,1597,1841,GDDR6,953.4,0,0
7842,7680,1789,1900,GDDR6X,952.9,87,348
7843,4608,1989,2398,HBM2,334.1,104,416
7844,1408,1911,2071,GDDR6,453.8,76,304
7845,16384,2479,2621,GDDR6,669.4,63,252
7846,16384,1739,1863,GDDR5X,214.3,0,0
7847,10752,1636,1842,GDDR5,492.6,40,160
7848,8704,2287,2488,HBM2,481.7,0,0
7849,7680,1782,2026,GDDR6X,270.9,124,496
7850,16384,2159,2550,GDDR5,721.3,123,492
7851,4608,2253,2398,GDDR5X,370.8,101,404
7852,384,1790,2178,GDDR6X,619.4,0,0
7853,7680,1294,1465,GDDR6,961.5,33,132
7854,8704,1996,2466,GDDR5X,661.2,0,0
7855,384,1180,1339,HBM2,338.2,0,0
7856,10752,1700,1962,GDDR6X,830.3,43,172
7857,3584,1774,2094,GDDR6,436.6,26,104
7858,10752,1560,1787,HBM2,395.6,52,208
7859,10752,1191,1433,GDDR6,511.5,60,240
7860,3584,2114,2419,GDDR5X,390.6,23,92
7861,1408,2142,2413,GDDR5,602.4,88,352
7862,16384,2361,2466,HBM2,315.6,0,0
7863,7680,2127,2331,GDDR6X,400.1,128,512
7864,384,1899,2286,HBM2,503.8,53,212
7865,2048,1552,2006,GDDR6,724.2,47,188
7866,3584,1842,2140,GDDR5X,860.0,23,92
7867,16384,1037,1428,HBM2,230.3,106,424
7868,16384,1171,1627,GDDR5,882.2,0,0
7869,7680,2373,2840,GDDR6X,256.6,0,0
7870,384,1618,1738,HBM2,438.9,0,0
7871,16384,1568,1728,GDDR6,983.5,0,0
7872,8704,1891,2285,GDDR6,578.9,0,0
7873,384,2198,2521,GDDR6,494.1,0,0
7874,1024,1220,1651,HBM2,206.2,105,420
7875,4608,1547,1804,GDDR6X,971.4,122,488
7876,10752,1772,2161,GDDR5X,778.1,0,0
7877,8704,2168,2572,GDDR6,967.7,52,208
7878,1024,1441,1674,GDDR5,982.6,0,0
7879,1024,1519,1640,GDDR6X,694.1,62,248
7880,1408,2191,2685,GDDR6X,773.7,0,0
7881,10752,1725,2219,GDDR5X,465.1,86,344
7882,1024,2065,2240,GDDR5,970.5,0,0
7883,8704,1201,1681,GDDR6,531.6,40,160
7884,3584,1852,2348,GDDR5X,948.7,28,112
7885,8704,2247,2361,GDDR6X,511.7,0,0
7886,1408,2108,2527,GDDR6,828.2,0,0
7887,3584,1845,2124,HBM2,718.9,0,0
7888,1024,2411,2518,GDDR5,967.9,121,484
7889,3584,2093,2545,GDDR5X,352.0,0,0
7890,8704,1313,1501,GDDR5X,414.2,32,128
7891,2048,1499,1739,GDDR6X,394.0,0,0
7892,384,1276,1750,HBM2,355.0,0,0
7893,4608,1509,1851,HBM2,795.3,87,348
7894,1408,2403,2848,GDDR6,502.2,0,0
7895,4608,2171,2383,GDDR5,537.3,65,260
7896,4608,2040,2160,GDDR5,666.9,0,0
7897,10752,1175,1406,GDDR6,414.2,66,264
7898,1408,1034,1331,GDDR6,886.8,92,368
7899,2048,1446,1883,GDDR5,501.5,74,296
7900,16384,1202,1665,GDDR5X,812.1,24,96
7901,10752,2156,2360,HBM2,973.4,23,92
7902,7680,1633,1779,HBM2,972.0,0,0
7903,2048,1546,2017,HBM2,491.5,0,0
7904,1024,2432,2760,GDDR5X,802.3,76,304
7905,384,1111,1542,GDDR5X,326.1,0,0
7906,2048,1180,1410,GDDR5X,777.2,0,0
7907,2048,1986,2462,GDDR6X,468.6,29,116
7908,1024,1548,1898,GDDR5,523.7,52,208
7909,3584,1280,1410,HBM2,598.9,112,448
7910,4608,1744,2215,HBM2,353.1,56,224
7911,7680,1982,2085,GDDR6X,843.4,107,428
7912,4608,2280,2471,GDDR5X,292.3,86,344
7913,3584,1999,2192,GDDR5,859.5,79,316
7914,16384,1744,1992,GDDR6X,783.6,0,0
7915,384,1840,2297,HBM2,671.6,0,0
7916,1024,1697,2150,GDDR6X,228.7,0,0
7917,7680,1646,1863,GDDR6X,968.6,24,96
7918,3584,2415,2590,GDDR6,685.3,34,136
7919,4608,1139,1445,GDDR5X,982.0,110,440
7920,10752,1205,1567,HBM2,803.4,38,152
7921,3584,1478,1965,HBM2,255.1,77,308
7922,1408,1969,2138,GDDR5,519.8,0,0
7923,16384,1421,1647,GDDR6,691.2,0,0
7924,8704,1137,1333,GDDR6X,676.4,0,0
7925,10752,1938,2325,GDDR5,824.2,59,236
7926,7680,1568,1725,GDDR5,391.6,0,0
7927,2048,1863,2003,GDDR5X,900.2,0,0
7928,1024,1089,1305,GDDR6,445.1,91,364
7929,1408,2009,2506,GDDR5X,317.0,0,0
7930,1024,1757,2149,GDDR6X,357.9,0,0
7931,1024,1961,2163,GDDR5,304.3,29,116
7932,1408,1139,1275,GDDR6X,282.7,110,440
7933,3584,2184,2575,GDDR6X,401.1,21,84
7934,1408,1652,1839,GDDR6X,898.3,0,0
7935,1024,1014,1490,GDDR6X,269.6,0,0
7936,4608,1570,1940,GDDR5,355.3,0,0
7937,3584,1681,1897,GDDR5X,543.4,122,488
7938,10752,1965,2191,GDDR6,547.7,128,512
7939,4608,1011,1481,GDDR5,800.4,77,308
7940,2048,2018,2162,GDDR6,931.3,71,284
7941,10752,2344,2612,GDDR5X,747.4,29,116
7942,1408,1549,1710,GDDR6,377.2,39,156
7943,2048,1560,1969,GDDR6,560.4,0,0
7944,1408,2478,2645,GDDR6,825.4,52,208
7945,8704,1315,1470,GDDR6X,547.7,0,0
7946,16384,1925,2247,GDDR6,491.8,0,0
7947,10752,2441,2809,GDDR6,450.1,40,160
7948,384,1759,1889,HBM2,845.3,0,0
7949,7680,1998,2449,GDDR6X,822.2,92,368
7950,8704,1849,2146,GDDR5X,600.4,0,0
7951,4608,2054,2396,GDDR5X,257.3,99,396
7952,1024,1746,1901,HBM2,711.9,0,0
7953,4608,1519,1659,GDDR6X,465.7,0,0
7954,2048,1174,1554,GDDR6,298.4,51,204
7955,7680,2364,2836,HBM2,979.4,94,376
7956,16384,1363,1600,GDDR6,903.3,56,224
7957,4608,2020,2138,GDDR6X,791.7,110,440
7958,3584,1627,1909,GDDR5,278.1,77,308
7959,384,1291,1543,GDDR5,256.1,128,512
7960,3584,2127,2238,GDDR5,739.9,0,0
7961,4608,2050,2352,GDDR6,617.5,0,0
7962,10752,1203,1422,HBM2,851.7,123,492
7963,16384,1192,1457,GDDR6,623.2,55,220
7964,1408,1085,1189,HBM2,445.2,0,0
7965,4608,1343,1479,GDDR5,871.8,0,0
7966,7680,1332,1566,GDDR6X,979.5,96,384
7967,1024,2316,2513,GDDR6X,283.9,107,428
7968,8704,1091,1543,GDDR5,322.7,75,300
7969,1408,2338,2509,HBM2,627.9,0,0
7970,384,1402,1509,HBM2,209.6,82,328
7971,4608,1929,2118,GDDR6,813.1,92,368
7972,1024,1324,1514,GDDR5,223.3,0,0
7973,1408,1959,2432,GDDR6,521.8,0,0
7974,7680,2397,2837,GDDR6,204.0,88,352
7975,2048,1527,1901,HBM2,539.6,68,272
7976,8704,2156,2395,HBM2,261.8,0,0
7977,1024,2126,2569,GDDR6X,582.6,20,80
7978,7680,2002,2386,HBM2,938.5,112,448
7979,1408,2119,2261,GDDR6X,539.1,0,0
7980,384,1612,1845,GDDR5,231.7,0,0
7981,7680,1569,2020,GDDR6,257.8,125,500
7982,10752,1665,1958,GDDR6X,295.2,41,164
7983,384,1048,1241,GDDR6X,861.2,0,0
7984,2048,2280,2493,GDDR6,687.2,0,0
7985,16384,1809,1941,GDDR6,522.1,0,0
7986,1408,2367,2565,HBM2,842.1,0,0
7987,4608,1146,1470,GDDR6X,830.4,46,184
7988,7680,1102,1333,GDDR5,420.3,66,264
7989,1408,2107,2230,HBM2,285.2,0,0
7990,3584,2494,2811,GDDR6X,458.5,0,0
7991,1024,1672,1971,GDDR5,807.2,0,0
7992,8704,1247,1433,GDDR6X,938.4,30,120
7993,8704,1914,2283,GDDR5,403.8,0,0
7994,8704,2020,2434,HBM2,957.6,0,0
7995,7680,1122,1471,GDDR5X,400.3,24,96
7996,4608,1537,1760,HBM2,889.5,35,140
7997,16384,1310,1427,GDDR6X,332.0,29,116
7998,8704,2269,2493,GDDR6X,319.7,112,448
7999,10752,1571,1891,GDDR6X,277.3,0,0
8000,384,2435,2871,GDDR6X,560.8,0,0
8001,3584,2163,2268,GDDR6,584.5,31,124
8002,4608,1460,1569,GDDR6X,335.8,92,368
8003,10752,2434,2673,GDDR6,930.9,0,0
8004,2048,1157,1404,HBM2,239.4,63,252
8005,1024,1357,1687,GDDR5X,668.8,105,420
8006,1024,2479,2956,GDDR6,227.8,127,508
8007,384,1574,1819,GDDR6X,584.5,71,284
8008,384,1434,1632,GDDR5,226.9,0,0
8009,1408,1301,1592,GDDR6X,264.8,106,424
8010,10752,1151,1381,GDDR6X,422.9,71,284
8011,4608,1170,1299,GDDR5,396.0,0,0
8012,1024,1397,1568,GDDR5,785.3,0,0
8013,1408,2278,2536,GDDR6,926.0,0,0
8014,384,1143,1352,GDDR5X,520.9,0,0
8015,7680,1600,2076,GDDR6,701.9,25,100
8016,3584,1659,2020,GDDR5X,392.6,0,0
8017,1024,1918,2286,GDDR6X,381.9,58,232
8018,1024,2375,2808,GDDR5X,441.6,92,368
8019,3584,2383,2749,GDDR5X,748.4,98,392
8020,3584,1536,2012,HBM2,696.8,0,0
8021,384,2212,2634,GDDR6,308.3,90,360
8022,8704,1170,1446,GDDR5X,641.4,55,220
8023,10752,1445,1742,GDDR5X,787.5,0,0
8024,16384,1424,1747,GDDR5X,509.3,0,0
8025,16384,2292,2791,GDDR6X,639.7,0,0
8026,3584,1052,1530,GDDR5X,803.9,0,0
8027,10752,1313,1473,GDDR5X,744.7,66,264
8028,2048,1954,2176,GDDR5,287.7,93,372
8029,8704,1857,2350,GDDR5,971.9,0,0
8030,2048,1410,1687,GDDR5,216.9,0,0
8031,3584,1265,1390,GDDR6X,861.7,85,340
8032,384,1785,2070,HBM2,283.9,84,336
8033,16384,2007,2462,HBM2,836.5,0,0
8034,10752,2141,2640,GDDR6,308.0,105,420
8035,384,1717,1960,GDDR6X,890.6,124,496
8036,7680,1251,1705,GDDR6,419.4,49,196
8037,16384,1193,1445,GDDR5X,588.5,0,0
8038,384,1360,1629,GDDR5,611.0,0,0
8039,1408,1963,2364,GDDR6,872.0,0,0
8040,8704,1377,1579,GDDR5X,373.0,0,0
8041,2048,1146,1494,HBM2,783.3,76,304
8042,8704,1024,1509,GDDR6X,671.9,0,0
8043,7680,1501,1786,GDDR5X,305.7,0,0
8044,10752,1747,1990,GDDR6X,588.3,0,0
8045,1408,2204,2401,GDDR5,308.5,76,304
8046,8704,2373,2497,GDDR6,420.6,86,344
8047,3584,1523,1779,GDDR5X,452.4,0,0
8048,16384,1022,1139,GDDR5X,904.3,0,0
8049,7680,1010,1497,HBM2,368.4,0,0
8050,7680,1962,2151,GDDR5X,414.5,0,0
8051,2048,1711,2132,GDDR6X,417.2,90,360
8052,8704,2318,2589,GDDR6X,858.9,88,352
8053,4608,2396,2824,GDDR6X,388.3,85,340
8054,1024,1658,1908,GDDR6,661.5,0,0
8055,1408,1949,2210,GDDR6,339.8,0,0
8056,1408,2409,2675,GDDR5X,942.9,20,80
