farm_id,farm_name,farm_address,city,land_area_acres,max_capacity,farm_type,established_year,organic_certified,latitude,longitude
FRM177,Quinn-Gordon Farm,"086 Amy Stravenue
East Ashleymouth, GA 72679",North Lisa,94.96,469,Modern,2010,False,39.449833,-117.700703
FRM178,Nixon Inc Farm,"USS Thompson
FPO AP 78120",Wheelerside,117.23,57,Organic,1993,True,35.449058,-95.845105
FRM179,"Ramirez, Gonzalez and Velasquez Farm","6289 Jonathan Drives
Stevenshire, IN 81336",East Timothyland,67.31,451,Semi Modern,2020,True,34.332706,-71.087487
FRM180,Walton Group Farm,"0772 Davis Road Suite 361
North Devonmouth, PR 16349",South Ryanberg,6.71,226,Semi Modern,2020,False,48.445582,-96.912121
FRM181,"Keller, Hall and Garza Farm","907 Coleman Plain Suite 590
Zimmermanmouth, MN 10012",Hillton,86.39,455,Traditional,1997,False,31.600521,-95.330704
FRM182,Ward LLC Farm,"1183 Smith Curve
New Meganhaven, SD 22711",North Apriltown,70.0,58,Modern,1999,True,38.024402,-107.950636
FRM183,Craig and Sons Farm,"3264 Angela Gateway Suite 361
South Brandi, NV 55306",East Valerie,6.97,61,Traditional,2000,False,44.313765,-69.264218
FRM184,Weeks-Torres Farm,"17282 Bradley Estates
West James, MS 29612",Valencialand,55.37,128,Modern,2019,True,48.429591,-65.898375
FRM185,Lyons LLC Farm,"68395 Byrd Mission
Port Kathrynfurt, MT 44082",Dawntown,3.64,130,Traditional,2004,False,43.232311,-110.248431
FRM186,"Garrett, Terrell and Robinson Farm","10691 Tyler Center
Loriport, TN 53117",Lake Briannatown,75.93,204,Traditional,2013,True,29.823885,-84.143628
FRM187,Hancock-Lynch Farm,"5092 Solis Club
South Mary, WY 42915",Lake Wendystad,93.56,50,Traditional,2016,False,48.336822,-74.770366
FRM188,Austin PLC Farm,"023 Trujillo Shore Apt. 948
Port Bethton, ID 37673",Kathleentown,82.51,328,Modern,1993,False,47.434998,-87.537301
FRM189,Sharp LLC Farm,"12888 Powers Landing Suite 050
Port Ryan, OH 28276",East Chloeburgh,86.73,151,Organic,1994,False,33.473796,-69.747646
FRM190,"Meyers, Cortez and Johnson Farm","76276 Samuel Track Apt. 780
Millerton, CA 47099",Arnoldborough,9.44,116,Traditional,2008,False,32.742247,-92.740704
FRM191,"Sanders, Simpson and Lloyd Farm","Unit 1962 Box 3421
DPO AP 36325",North Kimberlyfurt,13.55,463,Semi Modern,2001,True,45.976204,-123.673262
FRM192,Carrillo-Williams Farm,"30862 Destiny Canyon Suite 176
Maysmouth, IA 67098",North Cristina,96.43,84,Modern,2000,False,45.636063,-120.224555
FRM193,Guerrero Inc Farm,"146 Johnson Gardens
Thomaston, TN 13414",Jonestown,97.47,274,Organic,2022,False,38.538301,-123.747536
FRM194,Thomas-Perez Farm,"88118 Mack Street Suite 774
Lake Christine, ME 45164",Lake Stephenberg,115.72,288,Traditional,1990,False,29.402734,-105.652957
FRM195,Ochoa PLC Farm,"2828 Riggs Bypass
Port Alyssaburgh, OH 24592",Port Sheri,100.82,72,Traditional,2018,False,32.993259,-120.339477
FRM196,Patterson-Wright Farm,"9173 Nicholas Crescent Apt. 048
Wilsontown, NJ 44803",Rebeccastad,82.6,461,Traditional,2001,True,45.330761,-77.859588
FRM197,Lindsey LLC Farm,"7880 Barron Dale
Williamburgh, ME 89501",South Reneeville,27.31,58,Modern,2007,False,25.430234,-66.645195
FRM198,"Richards, Leonard and Jones Farm","69822 Tyler Mews
Kruegerstad, MT 53350",Humphreyton,90.56,59,Organic,2017,True,42.456278,-95.418224
FRM199,"Carr, Thomas and Gonzalez Farm","79113 Michael View Apt. 892
Salinaston, NV 93826",Johnsontown,46.24,214,Semi Modern,2020,True,38.863189,-77.65971
